File_ID,English_name,Vocalization_type,Quality,Time,AM_PM,Year,Month,Day,X,Y,Quadrant
147433,Bent-beak Riffraff,song,B,10:00,am,2013,9,4,131,166,1
61917,Blue-collared Zipper,call,C,6:28,am,2010,8,24,120,113,1
239023,Blue-collared Zipper,call,A,6:30,am,1996,2,22,147,153,1
230061,Blue-collared Zipper,call,C,9:00,am,2008,1,5,143,111,1
113765,Blue-collared Zipper,song,C,11:00,am,2011,9,16,125,116,1
251570,Blue-collared Zipper,call,B,12:30,pm,2004,11,27,129,120,1
116387,Blue-collared Zipper,call,A,16:50,pm,2012,10,4,150,144,1
101449,Bombadil,song,B,10:55,am,2012,5,10,104,131,1
50587,Bombadil,song,B,?,?,2006,3,10,136,125,1
319008,Broad-winged Jojo,song,B,2:00,am,2016,5,28,151,158,1
379258,Broad-winged Jojo,call,B,6:55,am,2017,7,10,149,160,1
253903,Broad-winged Jojo,call,C,9:30,am,2015,6,6,125,107,1
164744,Broad-winged Jojo,call,B,12:19,pm,2012,5,12,129,108,1
138068,Canadian Cootamum,call,B,6:21,am,2013,3,16,100,130,1
96745,Canadian Cootamum,song,A,20:00,pm,2012,3,13,124,122,1
171997,Canadian Cootamum,"""call, song""",B,20:15,pm,2014,3,26,138,109,1
308295,Canadian Cootamum,"""call, song""",B,20:20,pm,2016,3,23,126,112,1
61959,Carries Champagne Pipit,call,B,10:00,am,2010,8,6,128,115,1
397439,Carries Champagne Pipit,call,no score,11:00,am,2017,11,4,137,158,1
158454,Carries Champagne Pipit,call,C,11:30,am,2013,12,5,148,155,1
386506,Carries Champagne Pipit,call,E,12:00,pm,2017,9,16,144,131,1
91296,Carries Champagne Pipit,call,C,15:08,pm,2011,12,4,157,152,1
391081,Carries Champagne Pipit,call,C,15:30,pm,2017,10,28,107,106,1
344330,Darkwing Sparrow,song,A,5:47,am,2016,5,5,132,115,1
351547,Darkwing Sparrow,song,A,7:24,am,2017,1,20,132,109,1
358971,Darkwing Sparrow,call,A,8:00,am,2017,3,11,108,139,1
281738,Darkwing Sparrow,song,A,8:20,am,2007,2,4,144,158,1
400941,Darkwing Sparrow,song,A,11:30,am,2018,1,4,140,150,1
383533,Darkwing Sparrow,call,A,12:25,pm,2016,10,2,124,124,1
383538,Darkwing Sparrow,song,A,14:50,pm,2017,1,25,138,118,1
388696,Eastern Corn Skeet,song,A,6:00,am,2016,4,30,121,127,1
132866,Eastern Corn Skeet,song,A,6:24,am,2013,5,6,142,154,1
160470,Eastern Corn Skeet,song,B,7:49,am,2013,5,18,123,108,1
111143,Eastern Corn Skeet,song,B,9:00,am,2012,10,13,100,139,1
111142,Eastern Corn Skeet,song,B,9:00,am,2012,10,13,155,156,1
10175,Eastern Corn Skeet,song,A,9:10,am,2006,5,14,152,165,1
173954,Eastern Corn Skeet,song,A,9:30,am,2014,4,12,127,119,1
278231,Eastern Corn Skeet,song,B,9:34,am,2015,5,18,118,118,1
52451,Eastern Corn Skeet,song,B,10:30,am,2008,5,11,159,152,1
396262,Eastern Corn Skeet,song,C,10:48,am,2017,12,17,147,157,1
313354,Eastern Corn Skeet,song,B,17:53,pm,2016,4,20,137,120,1
299147,Green-tipped Scarlet Pipit,song,no score,6:30,am,2011,8,31,151,169,1
278068,Green-tipped Scarlet Pipit,song,no score,7:00,am,2015,9,6,149,155,1
154345,Green-tipped Scarlet Pipit,song,B,8:30,am,2012,12,30,143,163,1
283150,Green-tipped Scarlet Pipit,song,A,8:34,am,2002,11,20,123,127,1
283151,Green-tipped Scarlet Pipit,song,A,8:39,am,2002,11,20,136,168,1
60256,Green-tipped Scarlet Pipit,song,A,?,?,1989,2,9,153,141,1
46755,Green-tipped Scarlet Pipit,song,A,?,?,2005,3,25,147,154,1
183593,Lesser Birchbeere,call,A,6:00,am,2014,6,24,153,109,1
154791,Lesser Birchbeere,call,E,6:00,am,2013,6,5,152,109,1
322772,Lesser Birchbeere,call,A,8:00,am,2016,6,19,141,113,1
165080,Lesser Birchbeere,call,B,8:00,am,2014,1,18,155,108,1
169203,Lesser Birchbeere,call,A,8:51,am,2014,2,25,152,106,1
161306,Lesser Birchbeere,call,A,9:19,am,2013,11,7,163,114,1
388615,Lesser Birchbeere,call,B,9:30,am,2015,9,23,149,105,1
129365,Lesser Birchbeere,call,D,9:30,am,2000,10,14,151,109,1
357666,Lesser Birchbeere,call,A,9:37,am,2017,2,13,145,105,1
389973,Lesser Birchbeere,call,A,11:30,am,2016,4,27,152,106,1
95718,Lesser Birchbeere,call,B,11:30,am,2005,10,4,147,106,1
386100,Lesser Birchbeere,call,no score,13:13,pm,2017,5,19,148,105,1
234990,Lesser Birchbeere,call,B,18:00,pm,2015,4,9,142,112,1
42452,Orange Pine Plover,"""call, song""",B,8:45,am,2009,6,3,138,110,1
372260,Orange Pine Plover,"""call, song""",B,11:00,am,2017,5,27,142,113,1
163236,Orange Pine Plover,song,C,11:00,am,2012,4,23,147,106,1
390595,Orange Pine Plover,song,B,18:09,pm,2017,5,27,141,113,1
65820,Ordinary Snape,song,B,4:03,am,2010,5,24,135,116,1
160606,Ordinary Snape,song,B,4:25,am,2013,5,28,142,113,1
184629,Ordinary Snape,song,A,4:30,am,2014,5,10,139,111,1
325438,Ordinary Snape,song,no score,4:45,am,2016,5,14,158,125,1
157341,Ordinary Snape,song,D,5:00,am,2013,5,18,142,110,1
153181,Ordinary Snape,call,D,5:00,am,2013,6,21,144,113,1
179722,Ordinary Snape,call,A,5:01,am,2014,5,24,134,110,1
185117,Ordinary Snape,call,A,5:12,am,2014,6,8,142,109,1
373404,Ordinary Snape,call,A,5:30,am,2015,5,31,137,113,1
320475,Ordinary Snape,call,A,5:31,am,2016,6,5,124,107,1
193146,Ordinary Snape,"""call, song""",B,5:58,am,2014,6,22,142,111,1
183362,Ordinary Snape,call,B,6:00,am,2014,6,21,142,114,1
134156,Ordinary Snape,call,A,6:14,am,2013,5,19,144,109,1
368519,Ordinary Snape,call,C,6:30,am,2017,4,13,136,109,1
81094,Ordinary Snape,call,C,6:30,am,2011,6,8,124,110,1
215698,Ordinary Snape,call,E,6:30,am,2013,4,20,133,124,1
160520,Ordinary Snape,song,B,6:42,am,2013,5,21,142,113,1
256197,Ordinary Snape,call,B,6:43,am,2015,7,4,136,110,1
194295,Ordinary Snape,call,B,6:52,am,2014,6,24,138,110,1
322845,Ordinary Snape,song,A,7:00,am,2016,6,1,137,119,1
230435,Ordinary Snape,call,A,7:00,am,1998,3,20,131,133,1
230434,Ordinary Snape,call,A,7:00,am,1998,3,20,139,123,1
371289,Ordinary Snape,call,C,7:00,am,2017,5,21,137,104,1
163174,Ordinary Snape,song,A,7:04,am,2012,5,18,134,125,1
163173,Ordinary Snape,call,A,7:04,am,2012,5,18,143,107,1
163169,Ordinary Snape,call,A,7:04,am,2012,5,18,149,113,1
193050,Ordinary Snape,call,B,7:07,am,2014,7,13,142,113,1
107461,Ordinary Snape,call,B,7:23,am,2012,6,14,137,113,1
54455,Ordinary Snape,song,B,7:30,am,2008,5,15,114,109,1
129778,Ordinary Snape,call,C,7:35,am,2013,4,14,129,108,1
299635,Ordinary Snape,call,A,7:39,am,2015,5,23,130,111,1
236558,Ordinary Snape,song,A,7:39,am,2015,4,18,146,115,1
99549,Ordinary Snape,song,B,7:49,am,2012,4,15,134,108,1
163170,Ordinary Snape,song,A,7:55,am,2012,5,25,130,109,1
313481,Ordinary Snape,song,A,7:58,am,2016,4,23,131,113,1
362231,Ordinary Snape,song,no score,8:00,am,2017,3,30,137,112,1
322862,Ordinary Snape,call,A,8:00,am,2016,6,1,136,106,1
322861,Ordinary Snape,"""call, song""",A,8:00,am,2016,6,1,158,126,1
65937,Ordinary Snape,call,B,8:00,am,2010,7,4,150,127,1
393737,Ordinary Snape,song,B,8:12,am,2017,6,24,154,129,1
160431,Ordinary Snape,song,C,8:17,am,2013,5,16,134,101,1
388170,Ordinary Snape,call,B,8:20,am,2017,5,20,141,112,1
364517,Ordinary Snape,call,B,8:30,am,2017,4,15,134,114,1
175270,Ordinary Snape,call,E,8:30,am,2014,4,19,121,119,1
192726,Ordinary Snape,call,B,8:35,am,2014,4,22,141,111,1
212619,Ordinary Snape,"""call, song""",C,8:49,am,2013,8,9,134,110,1
163172,Ordinary Snape,call,B,8:51,am,2012,3,4,141,126,1
33004,Ordinary Snape,call,B,9:00,am,2009,4,18,136,115,1
131961,Ordinary Snape,"""call, song""",A,9:10,am,2013,4,27,146,112,1
158950,Ordinary Snape,call,B,9:15,am,2012,7,7,145,110,1
357947,Ordinary Snape,call,C,9:23,am,2017,2,15,145,122,1
357949,Ordinary Snape,call,B,9:25,am,2017,2,15,143,122,1
357950,Ordinary Snape,call,A,9:27,am,2017,2,15,150,113,1
142484,Ordinary Snape,call,A,9:30,am,2013,7,13,142,119,1
354703,Ordinary Snape,song,no score,9:47,am,2016,5,6,150,112,1
323053,Ordinary Snape,song,B,10:00,am,2016,6,9,141,115,1
13846,Ordinary Snape,call,A,10:05,am,2007,6,23,144,112,1
325928,Ordinary Snape,call,B,10:30,am,2016,6,11,141,108,1
172791,Ordinary Snape,song,B,10:30,am,2014,4,7,140,111,1
236696,Ordinary Snape,song,C,10:30,am,2015,4,19,136,135,1
312721,Ordinary Snape,call,B,10:49,am,2016,4,16,142,108,1
313909,Ordinary Snape,call,B,11:00,am,2016,4,16,144,131,1
101362,Ordinary Snape,song,B,11:40,am,2012,5,16,135,112,1
327947,Ordinary Snape,call,no score,11:45,am,2016,7,19,136,105,1
137602,Ordinary Snape,call,B,12:00,pm,2013,5,6,140,113,1
163175,Ordinary Snape,song,A,12:01,pm,2011,5,18,154,125,1
163176,Ordinary Snape,song,B,12:03,pm,2011,5,18,142,112,1
315286,Ordinary Snape,call,B,12:30,pm,2016,5,5,139,114,1
362080,Ordinary Snape,call,B,12:49,pm,2017,2,3,146,107,1
205913,Ordinary Snape,song,B,15:45,pm,2014,6,1,133,127,1
176986,Ordinary Snape,song,B,15:56,pm,2014,5,1,140,119,1
323025,Ordinary Snape,call,B,16:00,pm,2016,6,8,149,111,1
322820,Ordinary Snape,call,B,16:00,pm,2016,5,31,142,111,1
268813,Ordinary Snape,call,D,16:35,pm,2015,8,15,127,118,1
157277,Ordinary Snape,call,D,16:45,pm,2010,6,24,138,107,1
132736,Ordinary Snape,song,E,17:31,pm,2013,5,6,122,119,1
132735,Ordinary Snape,song,D,17:32,pm,2013,5,6,132,102,1
302963,Ordinary Snape,call,B,18:00,pm,2014,6,6,147,121,1
302960,Ordinary Snape,call,B,18:00,pm,2014,6,6,131,114,1
253209,Ordinary Snape,call,D,18:15,pm,2015,6,17,139,106,1
160345,Ordinary Snape,call,C,18:38,pm,2013,5,5,145,134,1
188419,Ordinary Snape,call,A,19:58,pm,2014,6,13,138,123,1
259259,Ordinary Snape,call,A,?,?,2011,6,0,135,123,1
350895,Ordinary Snape,song,B,?,?,1995,4,13,128,118,1
115820,Ordinary Snape,call,B,?,?,2012,5,6,151,111,1
17046,Ordinary Snape,song,C,?,?,2007,5,2,144,111,1
205929,Pinkfinch,call,D,4:00,am,2014,6,3,151,115,1
205497,Pinkfinch,call,C,6:00,am,2014,6,19,146,103,1
197639,Pinkfinch,call,B,9:00,am,2013,2,15,136,110,1
406228,Pinkfinch,call,B,9:19,am,2018,3,16,140,115,1
