English_name,1,2,3,4,5,6,7,8,9,10,11,12
BEN,6,6,5,5,3,8,10,5,12,4,6,1
BLU,5,8,7,5,2,4,2,5,5,7,8,9
BOM,0,4,22,13,51,32,6,1,7,1,0,0
BRO,0,1,5,9,25,26,19,7,1,0,0,0
CAN,5,15,30,16,14,1,0,0,0,0,1,0
CAR,4,4,1,5,6,6,4,2,9,30,9,24
DAR,8,11,7,19,11,15,4,3,4,2,0,2
EAS,2,2,5,16,25,14,3,0,0,8,7,6
GRE,3,3,10,4,3,5,10,12,14,8,12,3
LES,5,11,15,22,30,29,10,8,11,3,4,2
ORA,13,23,35,54,34,18,10,7,4,10,0,7
ORD,0,4,4,17,36,25,6,2,0,0,0,0
PIN,5,4,2,10,13,18,11,0,0,3,3,4
PUR,9,6,5,7,6,5,5,0,4,5,14,5
QAX,7,2,8,3,0,1,2,3,2,14,6,3
QUE,7,7,27,24,57,25,23,5,11,24,18,11
ROS,14,16,15,30,34,23,10,6,5,13,4,16
SCR,4,13,8,6,15,4,6,4,4,9,10,6
VER,3,7,13,16,8,11,7,6,0,9,3,1
