File_ID,English_name,Vocalization_type,Quality,Hour,AM_PM,Year,Month,Day,X,Y
247089,BEN,song,C,0,am,2004,4,22,64,93
216565,BEN,song,D,0,am,2006,1,10,84,83
87864,BEN,song,B,5,am,2011,9,30,95,146
112603,BEN,song,A,5,am,2012,10,23,69,148
187721,BEN,song,B,6,am,2013,6,20,39,73
73461,BEN,song,B,6,am,2006,8,14,66,77
198529,BEN,song,B,6,am,2014,10,2,62,96
76077,BEN,song,A,6,am,2011,4,8,29,82
81439,BEN,song,A,6,am,2011,6,12,64,160
123208,BEN,song,A,6,am,2011,7,10,35,153
94832,BEN,song,D,6,am,2011,1,26,66,179
63315,BEN,song,B,6,am,2002,11,1,46,138
14774,BEN,call,C,6,am,2007,7,30,70,153
303601,BEN,song,B,7,am,2016,2,2,61,90
116198,BEN,song,C,7,am,2012,1,9,48,91
214770,BEN,song,A,7,am,2015,2,20,55,84
2889,BEN,song,A,7,am,1997,6,9,73,143
188528,BEN,song,C,7,am,2014,7,20,62,97
35360,BEN,song,A,7,am,2009,6,5,49,55
35359,BEN,song,B,7,am,2009,6,5,54,80
13505,BEN,song,B,7,am,2007,5,12,57,168
106265,BEN,song,B,7,am,2012,6,28,64,83
20422,BEN,call,A,8,am,2007,8,29,57,150
28249,BEN,song,B,8,am,2008,7,26,69,115
103181,BEN,song,B,8,am,2003,4,10,95,148
84084,BEN,song,B,8,am,2010,11,18,35,89
54823,BEN,song,B,8,am,2010,5,30,32,149
221677,BEN,song,A,8,am,2009,7,29,78,144
69888,BEN,song,A,8,am,2011,1,12,48,72
275905,BEN,song,B,8,am,1997,3,16,74,131
202124,BEN,song,B,8,am,2008,11,25,38,69
171003,BEN,song,B,8,am,2014,3,21,46,135
118831,BEN,song,B,8,am,2011,10,22,60,81
39720,BEN,song,B,8,am,2009,7,29,64,98
103178,BEN,song,A,8,am,2003,11,26,68,176
340433,BEN,song,A,8,am,2003,11,27,64,161
42738,BEN,song,A,9,am,2008,3,20,64,101
221678,BEN,song,B,9,am,1995,6,29,76,169
212941,BEN,song,B,9,am,2015,1,29,46,176
86,BEN,song,B,9,am,2003,9,27,38,107
77030,BEN,song,A,9,am,2011,1,7,64,156
270664,BEN,song,B,9,am,2010,7,28,67,80
401388,BEN,song,C,9,am,2017,11,23,84,155
37041,BEN,song,B,9,am,2009,7,7,78,153
147433,BEN,song,B,10,am,2013,9,4,131,166
103177,BEN,song,A,11,am,1999,9,16,65,84
38495,BEN,song,A,13,pm,2009,8,23,50,171
