"File_ID","English_name","Vocalization_type","Quality","Time","AM_PM","Year","Month","Day","X","Y"
"247089","Bent-beak Riffraff","song","C","0:00","am","2004","4","22","64","93"
"216565","Bent-beak Riffraff","song","D","0:00","am","2006","1","10","84","83"
"87864","Bent-beak Riffraff","song","B","5:33","am","2011","9","30","95","146"
"112603","Bent-beak Riffraff","song","A","5:35","am","2012","10","23","69","148"
"187721","Bent-beak Riffraff","song","B","6:00","am","2013","6","20","39","73"
"73461","Bent-beak Riffraff","song","B","6:00","am","2006","8","14","66","77"
"198529","Bent-beak Riffraff","song","B","6:18","am","2014","10","2","62","96"
"76077","Bent-beak Riffraff","song","A","6:20","am","2011","4","8","29","82"
"81439","Bent-beak Riffraff","song","A","6:30","am","2011","6","12","64","160"
"123208","Bent-beak Riffraff","song","A","6:41","am","2011","7","10","35","153"
"94832","Bent-beak Riffraff","song","D","6:55","am","2011","1","26","66","179"
"63315","Bent-beak Riffraff","song","B","6:57","am","2002","11","1","46","138"
"14774","Bent-beak Riffraff","call","C","6:57","am","2007","7","30","70","153"
"303601","Bent-beak Riffraff","song","B","7:00","am","2016","2","2","61","90"
"116198","Bent-beak Riffraff","song","C","7:15","am","2012","1","9","48","91"
"214770","Bent-beak Riffraff","song","A","7:17","am","2015","2","20","55","84"
"2889","Bent-beak Riffraff","song","A","7:23","am","1997","6","9","73","143"
"188528","Bent-beak Riffraff","song","C","7:30","am","2014","7","20","62","97"
"35360","Bent-beak Riffraff","song","A","7:50","am","2009","6","5","49","55"
"35359","Bent-beak Riffraff","song","B","7:50","am","2009","6","5","54","80"
"13505","Bent-beak Riffraff","song","B","7:58","am","2007","5","12","57","168"
"106265","Bent-beak Riffraff","song","B","7:59","am","2012","6","28","64","83"
"20422","Bent-beak Riffraff","call","A","8:00","am","2007","8","29","57","150"
"28249","Bent-beak Riffraff","song","B","8:00","am","2008","7","26","69","115"
"103181","Bent-beak Riffraff","song","B","8:04","am","2003","4","10","95","148"
"84084","Bent-beak Riffraff","song","B","8:12","am","2010","11","18","35","89"
"54823","Bent-beak Riffraff","song","B","8:15","am","2010","5","30","32","149"
"221677","Bent-beak Riffraff","song","A","8:30","am","2009","7","29","78","144"
"69888","Bent-beak Riffraff","song","A","8:30","am","2011","1","12","48","72"
"275905","Bent-beak Riffraff","song","B","8:30","am","1997","3","16","74","131"
"202124","Bent-beak Riffraff","song","B","8:30","am","2008","11","25","38","69"
"171003","Bent-beak Riffraff","song","B","8:30","am","2014","3","21","46","135"
"118831","Bent-beak Riffraff","song","B","8:30","am","2011","10","22","60","81"
"39720","Bent-beak Riffraff","song","B","8:30","am","2009","7","29","64","98"
"103178","Bent-beak Riffraff","song","A","8:34","am","2003","11","26","68","176"
"340433","Bent-beak Riffraff","song","A","8:51","am","2003","11","27","64","161"
"42738","Bent-beak Riffraff","song","A","9:00","am","2008","3","20","64","101"
"221678","Bent-beak Riffraff","song","B","9:00","am","1995","6","29","76","169"
"212941","Bent-beak Riffraff","song","B","9:00","am","2015","1","29","46","176"
"86","Bent-beak Riffraff","song","B","9:00","am","2003","9","27","38","107"
"77030","Bent-beak Riffraff","song","A","9:30","am","2011","1","7","64","156"
"270664","Bent-beak Riffraff","song","B","9:30","am","2010","7","28","67","80"
"401388","Bent-beak Riffraff","song","C","9:37","am","2017","11","23","84","155"
"37041","Bent-beak Riffraff","song","B","9:40","am","2009","7","7","78","153"
"147433","Bent-beak Riffraff","song","B","10:00","am","2013","9","4","131","166"
"103177","Bent-beak Riffraff","song","A","11:45","am","1999","9","16","65","84"
"38495","Bent-beak Riffraff","song","A","13:50","pm","2009","8","23","50","171"
"42724","Bent-beak Riffraff","bill-snapping","C","14:45","pm","2008","4","18","48","84"
"260894","Bent-beak Riffraff","song","A","?","?","2000","07","00","63","164"
"258765","Bent-beak Riffraff","song","A","?","?","1995","12","00","54","78"
"258764","Bent-beak Riffraff","song","A","?","?","1993","03","00","57","70"
"88452","Bent-beak Riffraff","song","A","?","?","2011","9","29","63","152"
"88362","Bent-beak Riffraff","song","A","?","?","2011","9","10","74","159"
"59214","Bent-beak Riffraff","song","A","?","?","2010","7","7","70","186"
"27815","Bent-beak Riffraff","song","A","?","?","2006","09","00","52","88"
"2335","Bent-beak Riffraff","song","A","?","?","1994","3","9","22","186"
"401505","Bent-beak Riffraff","song","B","?","?","2014","2","18","50","151"
"401504","Bent-beak Riffraff","song","B","?","?","2014","2","18","54","78"
"275906","Bent-beak Riffraff","song","B","?","?","1995","9","29","70","174"
"195113","Bent-beak Riffraff","song","B","?","?","2013","6","20","75","141"
"194470","Bent-beak Riffraff","song","B","?","?","2011","9","5","35","82"
"73460","Bent-beak Riffraff","song","B","?","?","2007","10","28","39","154"
"68023","Bent-beak Riffraff","song","B","?","?","2004","5","10","90","145"
"63314","Bent-beak Riffraff","song","B","?","?","2001","9","11","68","85"
"63313","Bent-beak Riffraff","song","B","?","?","2001","9","23","91","152"
"63312","Bent-beak Riffraff","call","B","?","?","2001","8","18","68","81"
"751","Bent-beak Riffraff","song","B","?","?","1996","8","10","69","169"
"539","Bent-beak Riffraff","song","B","?","?","2001","09","00","56","68"
"9312","Bent-beak Riffraff","song","C","?","?","1991","2","12","67","82"
"102830","Bent-beak Riffraff","call","D","?","?","2012","04","00","65","179"
"30317","Bent-beak Riffraff","song","A","?","am","2009","2","6","67","143"
"254122","Blue-collared Zipper","call","B","0:00","am","2003","3","14","84","140"
"112599","Blue-collared Zipper","song","D","6:04","am","2012","10","23","45","68?"
"239019","Blue-collared Zipper","call","A","6:24","am","1990","12","11","68","151"
"61917","Blue-collared Zipper","call","C","6:28","am","2010","8","24","120","113"
"239023","Blue-collared Zipper","call","A","6:30","am","1996","2","22","147","153"
"239021","Blue-collared Zipper","call","B","6:38","am","1991","12","19","92","121"
"239020","Blue-collared Zipper","call","B","6:39","am","1991","9","4","45","64"
"239022","Blue-collared Zipper","call","A","6:40","am","1991","12","19","44","66"
"325753","Blue-collared Zipper","call","no score","7:00","am","2011","8","31","24","139"
"239018","Blue-collared Zipper","call","A","7:30","am","1992","11","15","49","61"
"341352","Blue-collared Zipper","song","A","8:00","am","2016","2","22","152","34"
"122690","Blue-collared Zipper","call","B","8:00","am","2013","1","28","45","65"
"326954","Blue-collared Zipper","call","C","8:00","am","2016","4","25","45","65"
"230061","Blue-collared Zipper","call","C","9:00","am","2008","1","5","143","111"
"347893","Blue-collared Zipper","""call, song""","A","9:30","am","2013","12","21","44","63"
"158745","Blue-collared Zipper","call","C","9:30","am","2013","12","16","45","67"
"95988","Blue-collared Zipper","song","B","9:33","am","2012","2","13","50","56"
"95987","Blue-collared Zipper","song","C","9:33","am","2012","2","13","44","64"
"166768","Blue-collared Zipper","call","B","10:00","am","2014","1","22","46","65"
"3371","Blue-collared Zipper","call","A","10:37","am","1996","6","6","32","138"
"339830","Blue-collared Zipper","call","D","10:37","am","2003","10","8","31","136"
"230058","Blue-collared Zipper","call","B","10:45","am","2003","4","16","47","63"
"230054","Blue-collared Zipper","call","A","11:00","am","2003","4","16","32","135"
"146158","Blue-collared Zipper","song","B","11:00","am","2013","2","21","47","66"
"131815","Blue-collared Zipper","call","C","11:00","am","2007","12","17","85","105"
"113765","Blue-collared Zipper","song","C","11:00","am","2011","9","16","125","116"
"15843","Blue-collared Zipper","call","C","11:15","am","2007","8","15","49","57"
"326977","Blue-collared Zipper","call","D","11:30","am","2016","5","27","95","141"
"251567","Blue-collared Zipper","call","C","12:00","pm","2007","3","11","50","60"
"251569","Blue-collared Zipper","call","B","12:10","pm","2004","11","27","49","61"
"251570","Blue-collared Zipper","call","B","12:30","pm","2004","11","27","129","120"
"24011","Blue-collared Zipper","song","B","13:00","pm","2008","10","18","50","59"
"251568","Blue-collared Zipper","call","B","13:20","pm","2004","11","10","80","132"
"12273","Blue-collared Zipper","call","C","13:33","pm","2003","4","8","23","138"
"251566","Blue-collared Zipper","call","C","14:00","pm","2005","9","12","53","61"
"211636","Blue-collared Zipper","call","B","14:30","pm","2014","12","16","50","63"
"74191","Blue-collared Zipper","song","B","15:20","pm","2006","10","3","82","138"
"85427","Blue-collared Zipper","call","B","15:50","pm","2002","10","30","47","65"
"347750","Blue-collared Zipper","call","no score","16:00","pm","2016","8","21","46","62"
"167890","Blue-collared Zipper","""call, song""","A","16:00","pm","2014","1","22","137","36"
"273667","Blue-collared Zipper","call","B","16:00","pm","2010","1","2","45","65"
"230057","Blue-collared Zipper","call","B","16:00","pm","1997","4","19","139","45"
"230055","Blue-collared Zipper","call","B","16:00","pm","2006","2","14","45","66"
"8370","Blue-collared Zipper","call","C","16:00","pm","2006","9","26","48","63"
"162080","Blue-collared Zipper","call","C","16:11","pm","2013","12","10","47","62"
"176506","Blue-collared Zipper","call","no score","16:17","pm","2010","9","26","46","62"
"181434","Blue-collared Zipper","song","B","16:30","pm","2013","11","16","46","70"
"374413","Blue-collared Zipper","call","A","16:49","pm","2017","2","3","60","71"
"116387","Blue-collared Zipper","call","A","16:50","pm","2012","10","4","150","144"
"116386","Blue-collared Zipper","call","B","16:50","pm","2012","10","4","46","64"
"230060","Blue-collared Zipper","call","B","17:00","pm","2000","6","5","45","65"
"230059","Blue-collared Zipper","call","B","17:00","pm","2000","6","5","56","58"
"274462","Blue-collared Zipper","call","A","17:05","pm","2010","3","15","60","76"
"183581","Blue-collared Zipper","call","A","18:00","pm","2014","5","24","31","136"
"230056","Blue-collared Zipper","call","B","18:00","pm","2000","7","28","67","156"
"74792","Blue-collared Zipper","call","B","18:20","pm","1997","8","1","46","35"
"189831","Blue-collared Zipper","call","A","18:30","pm","2014","7","31","84","138"
"260444","Blue-collared Zipper","call","A","?","?","1998","3","4","43","74"
"257777","Blue-collared Zipper","call","A","?","?","1996","11","00","43","67"
"239025","Blue-collared Zipper","call","A","?","?","1990","11","29","47","64"
"48782","Blue-collared Zipper","song","A","?","?","2005","3","28","46","64"
"30074","Blue-collared Zipper","call","A","?","?","2004","6","10","64","147"
"6135","Blue-collared Zipper","song","A","?","?","2005","3","25","47","64"
"52081","Blue-collared Zipper","song","B","?","?","2005","3","29","31","58"
"44224","Blue-collared Zipper","?","B","?","?","2007","12","00","73","140"
"41940","Blue-collared Zipper","song","B","?","?","2009","11","2","46","60"
"13297","Blue-collared Zipper","call","B","?","?","2003","2","25","129","58"
"317206","Bombadil","call","A","2:30","am","2016","5","14","71","143"
"318258","Bombadil","call","C","3:30","am","2016","5","17","73","140"
"206157","Bombadil","song","A","5:00","am","2014","6","13","66","154"
"153344","Bombadil","song","B","5:00","am","2013","6","10","71","156"
"185521","Bombadil","song","A","5:18","am","2014","6","6","66","135"
"185518","Bombadil","song","A","5:24","am","2014","6","6","70","140"
"160622","Bombadil","song","B","5:34","am","2013","5","28","56","130"
"13792","Bombadil","song","A","5:45","am","2007","6","9","84","179"
"177472","Bombadil","song","A","6:00","am","2014","5","6","67","154"
"177471","Bombadil","song","A","6:00","am","2014","5","6","73","144"
"206183","Bombadil","song","B","6:00","am","2014","6","13","58","131"
"278928","Bombadil","call","B","6:30","am","2015","9","10","75","136"
"394751","Bombadil","""call, song""","A","6:50","am","2017","7","3","79","144"
"372594","Bombadil","song","A","7:00","am","2017","5","20","69","150"
"199590","Bombadil","call","B","7:00","am","2014","7","18","84","152"
"153879","Bombadil","call","B","7:00","am","2013","7","23","72","140"
"153038","Bombadil","song","B","7:00","am","2013","6","26","57","151"
"137968","Bombadil","song","C","7:00","am","2013","6","9","81","129"
"278827","Bombadil","call","B","7:04","am","2015","9","12","72","154"
"278828","Bombadil","call","B","7:07","am","2015","9","12","57","158"
"315032","Bombadil","call","C","7:07","am","2016","4","24","69","147"
"13791","Bombadil","song","B","7:10","am","2007","6","3","75","98"
"155548","Bombadil","song","A","7:30","am","2013","5","19","64","146"
"43642","Bombadil","song","E","7:30","am","2009","6","20","78","154"
"326730","Bombadil","call","B","7:32","am","2016","6","18","61","158"
"160543","Bombadil","song","A","7:42","am","2013","5","21","65","134"
"153037","Bombadil","song","B","8:00","am","2013","6","25","85","156"
"253399","Bombadil","song","B","8:07","am","2015","5","31","77","150"
"296896","Bombadil","""call, song""","C","8:33","am","2012","5","18","70","130"
"296892","Bombadil","call","B","8:35","am","2012","5","18","65","149"
"278925","Bombadil","call","B","8:38","am","2015","9","12","58","163"
"59146","Bombadil","song","A","8:40","am","2010","5","7","67","161"
"147289","Bombadil","call","A","8:44","am","2013","9","4","74","156"
"337962","Bombadil","call","B","8:50","am","2016","7","1","35","81"
"313534","Bombadil","song","B","9:00","am","2016","4","22","83","139"
"131789","Bombadil","song","C","9:00","am","2013","4","22","66","144"
"337963","Bombadil","call","B","9:01","am","2016","7","1","74","141"
"337964","Bombadil","call","C","9:07","am","2016","7","1","92","134"
"216402","Bombadil","call","D","9:22","am","2013","9","14","71","163"
"216399","Bombadil","call","D","9:22","am","2013","9","14","71","157"
"100089","Bombadil","song","A","9:30","am","2012","4","22","81","164"
"237361","Bombadil","song","B","9:30","am","2015","4","26","68","163"
"100088","Bombadil","song","B","9:30","am","2012","4","22","68","152"
"100087","Bombadil","song","B","9:30","am","2012","4","22","75","149"
"100086","Bombadil","song","B","9:30","am","2012","4","22","71","151"
"389979","Bombadil","call","A","9:34","am","2017","5","27","86","136"
"296888","Bombadil","""call, song""","A","9:42","am","2012","5","18","71","143"
"83740","Bombadil","""call, song""","D","9:45","am","2011","3","27","47","58"
"178244","Bombadil","""call, song""","A","10:00","am","2014","5","14","64","152"
"328931","Bombadil","song","B","10:00","am","2015","6","9","80","146"
"179960","Bombadil","call","B","10:03","am","2014","5","24","73","152"
"179961","Bombadil","song","B","10:13","am","2014","5","24","61","163"
"179962","Bombadil","call","B","10:25","am","2014","5","24","72","154"
"314099","Bombadil","song","B","10:30","am","2016","4","28","74","136"
"48268","Bombadil","song","A","10:40","am","2010","5","2","83","135"
"101449","Bombadil","song","B","10:55","am","2012","5","10","104","131"
"48651","Bombadil","song","A","11:00","am","2010","5","4","67","153"
"101450","Bombadil","song","B","11:10","am","2012","5","10","75","143"
"313482","Bombadil","song","A","11:30","am","2016","4","23","68","144"
"182689","Bombadil","call","A","11:35","am","2014","5","25","69","155"
"67480","Bombadil","song","B","11:37","am","2010","5","23","68","154"
"296887","Bombadil","""call, song""","B","11:53","am","2011","5","18","77","140"
"296886","Bombadil","song","A","11:57","am","2011","5","18","74","133"
"314298","Bombadil","song","A","12:30","pm","2016","4","30","66","154"
"176638","Bombadil","call","D","12:30","pm","2013","10","12","65","148"
"296884","Bombadil","""call, song""","B","12:46","pm","2011","5","18","75","130"
"296885","Bombadil","call","C","12:46","pm","2011","5","18","73","141"
"296883","Bombadil","song","A","13:21","pm","2011","5","29","78","156"
"59127","Bombadil","song","A","14:20","pm","2010","5","4","68","160"
"319716","Bombadil","song","B","15:00","pm","2016","5","29","69","155"
"317040","Bombadil","song","B","15:00","pm","2016","5","7","73","142"
"337314","Bombadil","song","C","15:15","pm","2015","5","29","73","158"
"373488","Bombadil","song","A","15:30","pm","2017","6","1","69","154"
"333314","Bombadil","song","A","16:03","pm","2016","6","25","80","137"
"356871","Bombadil","song","C","16:30","pm","2015","6","25","72","165"
"100143","Bombadil","song","C","16:35","pm","2012","4","30","77","133"
"292085","Bombadil","song","A","17:00","pm","2008","5","18","58","165"
"381413","Bombadil","song","A","17:03","pm","2017","6","1","78","156"
"381414","Bombadil","song","A","17:04","pm","2017","6","1","78","136"
"318349","Bombadil","song","A","17:23","pm","2016","5","24","144","43"
"318350","Bombadil","song","A","17:25","pm","2016","5","24","67","144"
"388171","Bombadil","call","B","17:28","pm","2017","5","20","72","142"
"388172","Bombadil","song","A","17:31","pm","2017","5","20","69","154"
"160803","Bombadil","song","B","17:51","pm","2013","6","21","67","156"
"180230","Bombadil","song","A","18:00","pm","2014","5","28","85","145"
"254449","Bombadil","""call, song""","B","18:00","pm","2015","6","28","67","153"
"246110","Bombadil","song","B","18:00","pm","2015","5","26","74","165"
"180228","Bombadil","song","C","18:00","pm","2014","5","28","72","138"
"132418","Bombadil","song","E","18:10","pm","2013","5","3","88","142"
"246111","Bombadil","song","D","18:20","pm","2015","5","26","64","131"
"246112","Bombadil","song","A","18:45","pm","2015","5","26","77","135"
"95114","Bombadil","call","B","19:15","pm","2011","8","8","79","147"
"185812","Bombadil","song","A","20:17","pm","2014","6","6","57","154"
"185819","Bombadil","""call, song""","B","20:19","pm","2014","6","6","89","158"
"185814","Bombadil","song","A","20:26","pm","2014","6","6","58","86"
"185815","Bombadil","song","A","20:30","pm","2014","6","6","70","160"
"185821","Bombadil","song","B","20:56","pm","2014","6","6","70","155"
"185817","Bombadil","song","B","21:29","pm","2014","6","6","82","148"
"50596","Bombadil","song","A","?","?","2007","2","12","86","131"
"50610","Bombadil","song","B","?","?","2006","3","15","71","162"
"50609","Bombadil","song","B","?","?","2007","3","16","70","144"
"50608","Bombadil","song","B","?","?","2006","3","15","68","155"
"50607","Bombadil","song","B","?","?","2006","3","15","70","166"
"50606","Bombadil","song","B","?","?","2005","3","11","75","135"
"50605","Bombadil","song","B","?","?","2005","3","27","72","140"
"50604","Bombadil","song","B","?","?","2006","3","10","89","138"
"50603","Bombadil","song","B","?","?","2006","3","15","48","56"
"50602","Bombadil","song","B","?","?","2007","2","12","66","170"
"50601","Bombadil","song","B","?","?","2006","3","18","69","165"
"50600","Bombadil","song","B","?","?","2006","3","15","91","140"
"50599","Bombadil","song","B","?","?","2006","3","15","74","139"
"50598","Bombadil","song","B","?","?","2005","3","10","80","145"
"50597","Bombadil","song","B","?","?","2006","3","15","61","134"
"50595","Bombadil","song","B","?","?","2006","3","14","76","172"
"50594","Bombadil","song","B","?","?","2006","3","15","72","148"
"50593","Bombadil","song","B","?","?","2006","3","15","72","155"
"50592","Bombadil","song","B","?","?","2006","3","15","72","149"
"50591","Bombadil","song","B","?","?","2007","2","12","60","119"
"50590","Bombadil","song","B","?","?","2006","3","15","73","141"
"50589","Bombadil","song","B","?","?","2006","3","10","48","57"
"50588","Bombadil","song","B","?","?","2006","3","15","81","139"
"50587","Bombadil","song","B","?","?","2006","3","10","136","125"
"50586","Bombadil","song","B","?","?","2007","2","12","90","111"
"31206","Bombadil","call","B","?","?","2008","6","19","84","139"
"31205","Bombadil","call","B","?","?","2008","6","19","78","137"
"31204","Bombadil","song","B","?","?","2008","6","13","82","138"
"31203","Bombadil","""call, song""","B","?","?","2008","6","13","69","152"
"31202","Bombadil","song","B","?","?","2008","6","13","74","134"
"31049","Bombadil","song","B","?","?","2008","5","29","74","141"
"31047","Bombadil","song","B","?","?","2008","5","29","71","156"
"1366","Bombadil","song","B","?","?","2003","4","29","84","142"
"31207","Bombadil","call","C","?","?","2008","6","19","66","150"
"31046","Bombadil","song","C","?","?","2008","5","29","69","155"
"31042","Bombadil","call","C","?","?","2008","5","29","78","155"
"31041","Bombadil","call","C","?","?","2008","5","29","78","137"
"31044","Bombadil","""call, song""","D","?","?","2008","5","29","41","63"
"101415","Bombadil","call","E","?","pm","2012","5","13","64","158"
"319008","Broad-winged Jojo","song","B","2:00","am","2016","5","28","151","158"
"14954","Broad-winged Jojo","call","A","4:00","am","2007","6","14","55","53"
"172982","Broad-winged Jojo","song","D","4:30","am","2013","6","17","57","87"
"369858","Broad-winged Jojo","song","D","4:45","am","2016","6","25","75","85"
"138081","Broad-winged Jojo","call","C","5:00","am","2013","6","11","51","76"
"101243","Broad-winged Jojo","song","B","5:15","am","2012","5","16","36","141"
"319446","Broad-winged Jojo","song","B","5:44","am","2016","5","30","33","152"
"160321","Broad-winged Jojo","call","B","5:58","am","2013","5","5","45","65"
"196875","Broad-winged Jojo","song","B","6:00","am","2014","8","25","51","74"
"389985","Broad-winged Jojo","call","B","6:16","am","2017","5","27","64","75"
"389986","Broad-winged Jojo","call","B","6:19","am","2017","5","27","70","81"
"371463","Broad-winged Jojo","""call, song""","A","6:30","am","2017","5","14","61","75"
"196882","Broad-winged Jojo","call","B","6:30","am","2014","8","25","79","132"
"140782","Broad-winged Jojo","call","A","6:35","am","2013","6","27","55","78"
"379258","Broad-winged Jojo","call","B","6:55","am","2017","7","10","149","160"
"184319","Broad-winged Jojo","call","A","7:00","am","2014","6","28","61","76"
"82759","Broad-winged Jojo","call","B","7:15","am","2011","7","3","55","74"
"317055","Broad-winged Jojo","""call, song""","A","7:30","am","2016","5","16","63","91"
"13689","Broad-winged Jojo","song","A","7:32","am","2007","6","4","61","156"
"164751","Broad-winged Jojo","song","B","7:38","am","2012","5","11","56","78"
"140783","Broad-winged Jojo","call","B","7:50","am","2013","6","27","50","79"
"262816","Broad-winged Jojo","call","A","8:00","am","2015","7","18","40","132"
"182068","Broad-winged Jojo","""call, song""","A","8:00","am","2014","5","22","54","76"
"139568","Broad-winged Jojo","call","A","8:00","am","2013","6","23","92","133"
"395415","Broad-winged Jojo","call","B","8:00","am","2017","6","4","45","49"
"357148","Broad-winged Jojo","call","B","8:00","am","2017","2","25","39","63"
"192537","Broad-winged Jojo","call","A","8:14","am","2014","6","14","42","86"
"102207","Broad-winged Jojo","call","B","8:15","am","2012","5","27","56","73"
"80335","Broad-winged Jojo","song","A","8:24","am","2011","6","7","56","83"
"158560","Broad-winged Jojo","call","B","8:30","am","2013","4","11","66","81"
"43644","Broad-winged Jojo","call","B","8:30","am","2009","6","20","44","81"
"141537","Broad-winged Jojo","song","C","8:30","am","2013","6","27","42","87"
"387362","Broad-winged Jojo","call","A","8:31","am","2013","7","28","53","87"
"192536","Broad-winged Jojo","call","A","8:34","am","2014","6","14","56","145"
"253853","Broad-winged Jojo","""call, song""","B","8:44","am","2015","3","20","60","78"
"253850","Broad-winged Jojo","""call, song""","B","8:44","am","2015","3","20","48","80"
"253869","Broad-winged Jojo","""call, song""","B","8:46","am","2015","3","20","69","83"
"253864","Broad-winged Jojo","""call, song""","B","8:46","am","2015","3","20","133","37"
"288571","Broad-winged Jojo","call","C","8:52","am","1998","3","7","49","64"
"385856","Broad-winged Jojo","call","B","9:00","am","2015","7","19","56","84"
"179051","Broad-winged Jojo","?","B","9:00","am","2014","5","9","70","143"
"141872","Broad-winged Jojo","call","C","9:00","am","2012","8","25","65","92"
"160341","Broad-winged Jojo","call","C","9:25","am","2013","5","5","56","74"
"253355","Broad-winged Jojo","call","B","9:30","am","2015","6","6","79","130"
"253903","Broad-winged Jojo","call","C","9:30","am","2015","6","6","125","107"
"96700","Broad-winged Jojo","call","D","9:50","am","2009","9","16","75","86"
